Gate_ID,Location_X,Location_Y,Capacity_PPM
G1,1077.853669863948,3767.619346875638,569
G2,2483.3244149847424,2688.6006817766734,446
G3,3901.8986375223176,3636.8532644465668,574
G4,1305.3033193678657,2827.2055775682497,642
G5,1153.7728290123916,541.8750211144948,447
G6,2390.548300543622,1047.2833942200737,448
G7,2567.2086907722187,1975.6204603588262,690
G8,2666.140701575621,1356.2179683484833,588
G9,961.6587430981793,1888.0973794368492,658
G10,1053.0342448609376,3473.7177706222014,432
G11,2801.0092861968196,1339.0308426913525,608
G12,1024.4714496227184,3939.101964732987,515
G13,793.1696310862125,1067.0507081234693,489
G14,557.8014256700445,3115.366420317705,682
G15,2913.764136429722,2810.3450722666944,674
G16,2018.216126642915,3339.748979448001,575
G17,3582.337635196181,505.2659577860421,487
G18,3557.0158688987763,3368.1750697501766,559
G19,785.1259233058915,1211.374265839669,546
G20,3031.0947570179337,2701.466827404181,588
G21,582.1983505864004,237.3615448263666,563
G22,1174.206073709575,1745.6742399513328,592
G23,3409.56906427699,3911.6848415503678,404
G24,168.79303309733064,1129.125010812309,675
G25,805.3259692091927,810.9843116683257,695
