Gate_ID,Location_X,Location_Y,Capacity_PPM
G1,407.50371890362527,753.8797547225117,145
G2,153.72643762583937,1067.649662030802,585
G3,1756.6287940401128,1017.4704413267583,638
G4,1979.7222637391794,741.151337309713,677
G5,318.30907844642286,543.873751003955,423
G6,1952.8618442523966,874.8772961385478,336
G7,1395.7673610886595,1047.4987809710594,549
G8,261.11668876295033,118.05644127421333,632
G9,652.541672726388,1822.8140845627206,251
G10,272.7154612147082,172.80187293450334,649
G11,1205.101338044237,1819.197880652758,391
G12,53.698808169406085,109.67038346733027,653
